,ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id,profit
89,50505565652,2023-06-22 20:15:05.000,2023-06-22 20:15:05.330,2023-06-22 20:15:05.000,2023-06-22 20:15:05.330,0,sell,1,0,4,11031994,50505565652,0,3,1.0,0.0,1.2728,1.27489,1.27031,1.2728,0.0,GBPUSD,Ordem de venda e,,-163.94
90,50505855490,2023-06-23 02:15:05.000,2023-06-23 02:15:05.965,2023-06-23 02:15:05.000,2023-06-23 02:15:05.965,0,buy,1,0,4,11031994,50505855490,0,3,1.0,0.0,1.27481,1.2729,1.27747,1.27481,0.0,GBPUSD,Ordem de compra ,,-150.05
91,50505943397,2023-06-23 04:45:15.000,2023-06-23 04:45:15.306,2023-06-23 04:45:15.000,2023-06-23 04:45:15.306,0,sell,1,0,4,11031994,50505943397,0,3,1.0,0.0,1.27261,1.27489,1.27031,1.27261,0.0,GBPUSD,Ordem de venda e,,181.06
92,50506117594,2023-06-23 07:39:22.000,2023-06-23 07:39:22.494,2023-06-23 07:39:22.000,2023-06-23 07:39:22.494,0,sell,1,0,4,11031994,50506117594,0,3,1.0,0.0,1.27026,1.2732999999999999,1.26872,1.27026,0.0,GBPUSD,Ordem de venda e,,121.38
93,50506683428,2023-06-23 13:00:02.000,2023-06-23 13:00:02.760,2023-06-23 13:00:02.000,2023-06-23 13:00:02.760,0,buy,1,0,4,11031994,50506683428,0,3,1.0,0.0,1.2719,1.26972,1.27429,1.2719,0.0,GBPUSD,Ordem de compra ,,-171.69
94,50507573788,2023-06-23 19:00:56.000,2023-06-23 19:00:56.579,2023-06-23 19:00:56.000,2023-06-23 19:00:56.580,0,sell,1,0,4,11031994,50507573788,0,3,1.0,0.0,1.26971,1.2717100000000001,1.2671299999999999,1.26971,0.0,GBPUSD,Ordem de venda e,,-157.27
95,50507832739,2023-06-23 23:00:10.000,2023-06-23 23:00:10.726,2023-06-23 23:00:10.000,2023-06-23 23:00:10.726,0,buy,1,0,4,11031994,50507832739,0,3,1.0,0.0,1.27196,1.26972,1.27429,1.27196,0.0,GBPUSD,Ordem de compra ,,182.85
96,50508850037,2023-06-26 14:00:14.000,2023-06-26 14:00:14.937,2023-06-26 14:00:14.000,2023-06-26 14:00:14.938,0,sell,1,0,4,11031994,50508850037,0,3,1.0,0.0,1.2711299999999999,1.2732999999999999,1.26872,1.2711299999999999,0.0,GBPUSD,Ordem de venda e,,-170.42
97,50510156280,2023-06-27 06:45:06.000,2023-06-27 06:45:06.908,2023-06-27 06:45:06.000,2023-06-27 06:45:06.909,0,buy,1,0,4,11031994,50510156280,0,3,1.0,0.0,1.27318,1.27131,1.27588,1.27318,0.0,GBPUSD,Ordem de compra ,,-147.09
98,50510704190,2023-06-27 12:45:10.000,2023-06-27 12:45:10.409,2023-06-27 12:45:10.000,2023-06-27 12:45:10.409,0,sell,1,0,4,11031994,50510704190,0,3,1.0,0.0,1.27128,1.2732999999999999,1.26872,1.27128,0.0,GBPUSD,Ordem de venda e,,-158.64
99,50510813320,2023-06-27 13:45:07.000,2023-06-27 13:45:07.963,2023-06-27 13:45:07.000,2023-06-27 13:45:07.963,0,buy,1,0,4,11031994,50510813320,0,3,1.0,0.0,1.27325,1.27131,1.27588,1.27325,0.0,GBPUSD,Ordem de compra ,,206.13
100,50512261000,2023-06-28 04:47:26.000,2023-06-28 04:47:26.888,2023-06-28 04:47:26.000,2023-06-28 04:47:26.888,0,sell,1,0,4,11031994,50512261000,0,3,1.0,0.0,1.27305,1.27489,1.27031,1.27305,0.0,GBPUSD,Ordem de venda e,,215.7
101,50512872315,2023-06-28 11:38:48.000,2023-06-28 11:38:48.118,2023-06-28 11:38:48.000,2023-06-28 11:38:48.118,0,sell,1,0,4,11031994,50512872315,0,3,1.0,0.0,1.27033,1.2732999999999999,1.26872,1.27033,0.0,GBPUSD,Ordem de venda e,,126.9
102,50513169398,2023-06-28 14:01:28.000,2023-06-28 14:01:28.993,2023-06-28 14:01:28.000,2023-06-28 14:01:28.993,0,sell,1,0,4,11031994,50513169398,0,3,1.0,0.0,1.26867,1.2717100000000001,1.2671299999999999,1.26867,0.0,GBPUSD,Ordem de venda e,,121.53
103,50513248229,2023-06-28 14:46:42.000,2023-06-28 14:46:42.813,2023-06-28 14:46:42.000,2023-06-28 14:46:42.813,0,sell,1,0,4,11031994,50513248229,0,3,1.0,0.0,1.26705,1.27012,1.26554,1.26705,0.0,GBPUSD,Ordem de venda e,,119.32
104,50513288836,2023-06-28 15:04:49.000,2023-06-28 15:04:49.669,2023-06-28 15:04:49.000,2023-06-28 15:04:49.669,0,sell,1,0,4,11031994,50513288836,0,3,1.0,0.0,1.26543,1.26853,1.26395,1.26543,0.0,GBPUSD,Ordem de venda e,,117.09
105,50513370973,2023-06-28 15:35:32.000,2023-06-28 15:35:32.463,2023-06-28 15:35:32.000,2023-06-28 15:35:32.463,0,sell,1,0,4,11031994,50513370973,0,3,1.0,0.0,1.26388,1.26694,1.26236,1.26388,0.0,GBPUSD,Ordem de venda e,,120.41
106,50513795169,2023-06-28 18:00:26.000,2023-06-28 18:00:26.227,2023-06-28 18:00:26.000,2023-06-28 18:00:26.235,0,sell,1,0,4,11031994,50513795169,0,3,1.0,0.0,1.26142,1.26376,1.25918,1.26142,0.0,GBPUSD,Ordem de venda e,,-185.16
107,50513871245,2023-06-28 18:30:08.000,2023-06-28 18:30:08.351,2023-06-28 18:30:08.000,2023-06-28 18:30:08.351,0,buy,1,0,4,11031994,50513871245,0,3,1.0,0.0,1.2639,1.26177,1.26634,1.2639,0.0,GBPUSD,Ordem de compra ,,-168.81
108,50515071899,2023-06-29 13:30:02.000,2023-06-29 13:30:02.804,2023-06-29 13:30:02.000,2023-06-29 13:30:02.804,0,buy,1,0,4,11031994,50515071899,0,3,1.0,0.0,1.26558,1.26336,1.26793,1.26558,0.0,GBPUSD,Ordem de compra ,,-175.72
109,50515651049,2023-06-29 16:30:43.000,2023-06-29 16:30:43.310,2023-06-29 16:30:43.000,2023-06-29 16:30:43.311,0,sell,1,0,4,11031994,50515651049,0,3,1.0,0.0,1.26031,1.26217,1.25759,1.26031,0.0,GBPUSD,Ordem de venda e,,-147.37
110,50517173937,2023-06-30 13:45:02.000,2023-06-30 13:45:02.808,2023-06-30 13:45:02.000,2023-06-30 13:45:02.809,0,buy,1,0,4,11031994,50517173937,0,3,1.0,0.0,1.2643900000000001,1.26177,1.26634,1.2643900000000001,0.0,GBPUSD,Ordem de compra ,,153.99
111,50517461359,2023-06-30 15:45:18.000,2023-06-30 15:45:18.735,2023-06-30 15:45:18.000,2023-06-30 15:45:18.736,0,buy,1,0,4,11031994,50517461359,0,3,1.0,0.0,1.2683200000000001,1.26654,1.27111,1.2683200000000001,0.0,GBPUSD,Ordem de compra ,,219.49
112,50517758940,2023-06-30 17:15:41.000,2023-06-30 17:15:41.943,2023-06-30 17:15:41.000,2023-06-30 17:15:41.944,0,buy,1,0,4,11031994,50517758940,0,3,1.0,0.0,1.27184,1.26972,1.27429,1.27184,0.0,GBPUSD,Ordem de compra ,,-166.97
